Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
few-shot,GINS complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster',The GINS complex is essential for the initiation of DNA replication and progression of the DNA replication fork. It is a key component of the replisome;  interacting with other replication factors to ensure genome stability.',Psf1;  Psf2;  Psf3;  Sld5',PSF1;  PSF2;  PSF3;  SLD5',0.955,A6ZXX8; A6ZPQ1; B5VRB6; C7GKS7
contextual,GINS complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans',The GINS complex is essential for the initiation and elongation phases of DNA replication. It functions as a part of the DNA helicase complex that unwinds DNA during replication.',Sld5;  Psf1;  Psf2;  Psf3',SLD5;  PSF1;  PSF2;  PSF3',0.955,C7GKS7; A6ZXX8; A6ZPQ1; B5VRB6
zero-shot,CMG helicase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The CMG helicase complex is essential for DNA replication initiation and elongation. It unwinds the DNA double helix at the replication fork;  allowing for the progression of DNA polymerases., Cdc45;  Mcm2; Mcm3; Mcm4; Mcm5; Mcm6; Mcm7;  GINS;  Psf1;  Psf2; Psf3,CDC45;  MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  PSF1;  PSF2;  PSF3,0.965,"	
Q08032; 	
P29469; P24279; P30665; P29496; P53091; P38132; Not Found; 	
Q12488;  P40359; Q12146"
few-shot,CMG helicase complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster',The CMG helicase complex is essential for the unwinding of double-stranded DNA;  facilitating DNA replication during the S phase of the cell cycle.',Cdc45;  Mcm2-7;  GINS components',CDC45;  MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  SLD5;  PSF1;  PSF2;  PSF3',0.94,"	
Q08032; 	
P29469; P24279; P30665; P29496; P53091; P38132; Not Found; 	
Q12488;  P40359; Q12146"
contextual,CMG helicase complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  C. elegans',The CMG helicase complex is essential for DNA replication initiation and elongation;  unwinding double-stranded DNA at the replication fork;  allowing replication machinery access to the DNA strands.',Cdc45;  Mcm2;  Mcm3;  Mcm4;  Mcm5;  Mcm6;  Mcm7;  GINS complex subunits Sld5;  Psf1;  Psf2;  Psf3',CDC45;  MCM2;  MCM3;  MCM4;  MCM5;  MCM6;  MCM7;  SLD5;  PSF1;  PSF2;  PSF3',0.955,"	
Q08032; 	
P29469; P24279; P30665; P29496; P53091; P38132; Not Found; 	
Q03406 	
Q12488;  P40359; Q12146"
zero-shot,20S mitochondrial small ribosomal subunit,Saccharomyces cerevisiae,The 20S mitochondrial small ribosomal subunit is also found in humans (Homo sapiens);  mice (Mus musculus);  Caenorhabditis elegans (C. elegans);  and Drosophila melanogaster.,The 20S mitochondrial small ribosomal subunit is responsible for translating mitochondrially encoded proteins that are crucial for oxidative phosphorylation. It plays a vital role in mitochondrial protein synthesis and maintaining mitochondrial function., Mrp1;  Mrp10;  Mrp17;  Mrp20;  Mrp21;  Mrp49;  Rsm10;  Rsm22;  Rsm24,Corresponding genes for Saccharomyces cerevisiae include MRP1;  MRP10;  MRP17;  MRP20;  MRP21;  MRP49;  RSM10;  RSM22;  RSM24;  among others.,0.935,P10662; O75012; B3LR82; A6ZZ04; P38175; P32388; A0A6C1DNW9; P36056; A6ZYD3
few-shot,20S mitochondrial small ribosomal subunit,Saccharomyces cerevisiae,Human;  Mouse',This ribosomal subunit is responsible for protein synthesis within the mitochondria;  playing a crucial role in the translation of mitochondrial mRNAs and in the overall mitochondrial protein production.', Mrps5;  Mrps6;  Mrps7;  Mrps8;  Mrps9;,MRPS5;  MRPS6;  MRPS7;  MRPS8;  MRPS9',0.9125,"	
P33759; Not Found; Not Found; Q03799; P38120"
contextual,20S mitochondrial small ribosomal subunit,Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The 20S mitochondrial small ribosomal subunit is part of the mitochondrial ribosome responsible for protein synthesis within mitochondria.,Mitochondrial ribosomal protein S2;  Mitochondrial ribosomal protein S3;  Mitochondrial ribosomal protein S6;  Mitochondrial ribosomal protein S9;  Mitochondrial ribosomal protein S10,MRPS2;  MRPS3;  MRPS6;  MRPS9;  MRPS10;  and others.,0.931,"P41805; Not Found; Not Found; 	
P38120; Q03201"
zero-shot,Cardiac troponin complex,Homo Sapiens,Mouse;  Drosophila melanogaster,The Cardiac Troponin Complex is crucial for the regulation of cardiac muscle contraction. It modulates the interaction between actin and myosin in response to changes in intracellular calcium levels;  enabling the heart muscle to contract and relax efficiently.,Troponin C;  Troponin I;  and Troponin T.,Troponin C (cTnC) is encoded by the gene TNNC1.; Troponin I (cTnI) is encoded by the gene TNNI3.; Troponin T (cTnT) is encoded by the gene TNNT2.,1,B4DUI9; A0AAQ5BHR0; P19429
few-shot,Cardiac troponin complex,Homo Sapiens,Mouse;  Drosophila melanogaster,The cardiac troponin complex is essential for the regulation of muscle contraction in cardiac muscle tissue. It modulates the interaction between actin and myosin through calcium ion binding;  facilitating muscle contraction and relaxation.,Troponin C;  Troponin I;  Troponin T,TNNC1;  TNNI3;  TNNT2,0.955,B4DUI9; A0AAQ5BHR0; A9QLG1
contextual,Cardiac troponin complex,Homo Sapiens,Mouse;  Drosophila melanogaster,This complex is essential for the calcium-dependent regulation of muscle contraction in the heart;  playing a crucial role in the contraction and relaxation cycle of cardiac muscle by modulating the sensitivity of the contractile apparatus to calcium ions.,Troponin C;  Troponin I;  Troponin T,TNNC1;  TNNI3;  TNNT2,0.955,B4DUI9; A0AAQ5BHR0; A9QLG1
